Id,BasePay
188,158603.6
189,207699.73
190,173937.49
191,130434.29
192,178526.48
193,130457.96
194,140546.87
195,174597.67
196,105934.66
197,206752
198,187237.53
199,105934.67
200,190352.67
201,105934.66
202,105934.67
203,127203
204,165996.75
205,105934.7
206,205609.58
207,130434.23
208,124894
209,130466.56
210,25400
211,149362.85
212,188341.62
213,176371.35
214,105934.65
215,188348.55
216,122820.36
217,89078.11
218,105934.65
219,122405
220,203450
221,184914.8
222,105934.66
223,111770
224,109667.03
225,63625.16
226,188341.6
227,122418.3
228,105934.64
229,110242.81
230,183500.8
231,202426.74
232,86840
233,139580.96
234,123105
235,123105
236,110638.66
237,172916.55
238,122404.99
239,122404.99
240,188341.64
241,188341.62
242,127886.02
243,149044.63
244,183040
245,112441.8
246,177343.5
247,158603.6
248,171236.03
249,196061.3
250,122404.99
251,200515.38
252,187094.56
253,188341.61
254,188341.6
255,105934.65
256,171236.02
257,169197.16
258,188341.84
259,123214.31
260,140546.9
261,140441.9
262,188314.54
263,199765.74
264,112421.46
265,184386.79
266,172198
267,85624.87
268,123105.02
269,123105.05
270,173453.3
271,105934.66
272,112401.06
273,105934.65
274,88400.7
275,188341.6
276,105934.66
277,77580.41
278,188341.6
279,126968.08
280,105934.66
281,122404.96
282,122404.98
283,198027.44
284,123105.02
285,188341.62
286,149044.41
287,89930.37
288,185724.5
289,128569.01
290,130466.59
291,130481.57
292,190243.46
293,192379.6
294,197233.84
295,105934.65
296,113695.71
297,195975.32
298,171071.36
299,196886.55
300,196886.55
301,105934.65
302,108947.02
303,112441.79
304,194566.01
305,161044
306,99000
307,196377.99
308,105934.63
309,112401.07
310,123105.03
311,78949.19
312,123105
313,168692.65
314,184805.62
315,140546.89
316,185724.5
317,195256.1
318,105934.64
319,140546.88
320,188314.5
321,105934.66
322,189841.6
323,86410.84
324,105934.69
325,123104.99
326,105934.64
327,135339.78
328,168713.21
329,171236
330,137709.85
331,105934.65
332,195121.53
333,126857.54
334,194980.11
335,194980.1
336,194980.09
337,140370.59
338,192379.6
339,130481.52
340,145835.82
341,113021.59
342,130481.55
343,105934.66
344,180356.1
345,140546.88
346,105934.69
347,180612.83
348,179860.39
349,188341.62
350,105934.65
351,189350
352,153932.54
353,132224.22
354,112421.46
355,129148.5
356,104073.4
357,105934.64
358,105934.68
359,122404.97
360,123104.98
361,158603.62
362,183040
363,112441.83
364,164711
365,86840
366,105934.64
367,188341.62
368,188341.64
369,188341.62
370,188341.6
371,188328.08
372,185342.48
373,78918
374,192007.49
375,102990.88
376,76424.2
377,182135.01
378,130466.61
379,127203.03
380,105934.68
381,192379.6
382,192379.6
383,192379.6
384,192379.6
385,122404.99
386,192183.91
387,77580.4
388,123105
389,105934.67
390,61232
391,192022.73
392,140441.86
393,104818.76
394,188218.38
395,171374.32
396,181522.51
397,188341.6
398,89873.18
399,191319.45
400,191287.06
401,123169.39
402,149044.41
403,130457.9
404,105934.7
405,190739.36
406,105934.64
407,164035.5
408,190617.54
409,189728.71
410,130505.2
411,149782.11
412,190248.76
413,190108.91
414,105934.69
415,140564.02
416,189931.7
417,106106
418,161661.6
419,118167
420,130457.95
421,163644
422,150355.43
423,123105.02
424,126857.59
425,140546.88
426,188341.63
427,171236.09
428,76298.77
429,171236.01
430,186021.06
431,189061.08
432,127203.01
433,103372.26
434,123169.95
435,188842.42
436,123105.01
437,130457.8
438,149050.77
439,103146.49
440,188592.6
441,109171.24
442,161044
443,161044
444,176314.14
445,122404.98
446,171236.09
447,122404.97
448,122404.97
449,188288.1
450,105934.65
451,166066.08
452,148260.81
453,187982.18
454,187976.14
455,88199.6
456,187855.73
457,127203.01
458,137026.86
459,126968.05
460,99014.4
461,137399.95
462,106441.64
463,102242.01
464,75870.3
465,130481.51
466,130457.9
467,155276.21
468,140563.98
469,142248.5
470,130481.54
471,90108.62
472,149050.76
473,126292.58
474,105934.66
475,130476.4
476,130543.29
477,112421.41
478,186541.05
479,140546.87
480,176050.04
481,90094.2
482,130466.65
483,105934.66
484,130481.5
485,130505.19
486,126732.39
487,130466.6
488,77301.9
489,186341.79
490,105934.64
491,149044.77
492,171044.1
493,129252.01
494,105934.64
495,123013
496,87384.6
497,123105
498,185724.5
499,185724.5
500,185724.5
501,185724.5
502,185724.5
503,185724.49
504,185724.49
505,185724.48
506,185724.47
507,185695.47
508,185695.47
509,185695.47
510,185695.46
511,185695.45
512,185695.43
513,185695.43
514,185695.42
515,185695.39
516,185695.38
517,185695.37
518,185695.36
519,185695.36
520,185695.36
521,185695.36
522,185695.36
523,103567.01
524,51437.99
525,95632.6
526,184700.97
527,185541.91
528,166570.2
529,130476.4
530,175345.82
531,181066.7
532,117225.66
533,130457.96
534,182297.76
535,159457.99
536,123105.01
537,176127.11
538,99014.4
539,180671.06
540,140441.89
541,89755.51
542,141720.27
543,158223.4
544,122404.99
545,130457.94
546,123105.02
547,184484.87
548,183653.74
549,183653.74
550,181718.79
551,140546.89
552,168713.2
553,130481.62
554,140546.85
555,175345.8
556,105934.65
557,155013
558,140546.86
559,130457.89
560,175170.24
561,152743.07
562,67817.57
563,183754.57
564,105934.68
565,170596.03
566,183653.74
567,105934.66
568,181955.76
569,159624.81
570,112401.11
571,147158.86
572,105934.66
573,161964.13
574,171236.01
575,171236
576,105934.64
577,98628.22
578,111580.9
579,135363.4
580,105934.68
581,94298.49
582,171236.01
583,183038.47
584,130504.59
585,133399.04
586,123105.03
587,140810.55
588,105934.68
589,156312
590,178162.65
591,130481.57
592,153221.52
593,130457.95
594,122418.29
595,168587.21
596,149050.75
597,158885.25
598,166062.06
599,166062.03
600,123104.99
601,156312
602,131668.11
603,128147.09
604,105934.69
605,171236.02
606,149050.72
607,173585.32
608,89394
609,123105.01
610,103491.94
611,140546.87
612,158400.22
613,114085.47
614,164424
615,105934.66
616,105934.67
617,168692.64
618,181955.77
619,117283.28
620,172071.52
621,130466.56
622,115294
623,123104.99
624,127203.03
625,105934.69
626,105934.65
627,100497.64
628,123104.99
629,181641.48
630,149050.44
631,105934.67
632,130457.96
633,135660.87
634,181584
635,130457.92
636,105934.67
637,156312
638,106483.83
639,112401.07
640,130457.92
641,105934.64
642,77580.4
643,111581.04
644,69076.01
645,96616.8
646,123105.02
647,105562.4
648,112421.44
649,105934.67
650,149023.98
651,105934.65
652,180857.67
653,177258.82
654,77580.41
655,105934.64
656,126968.05
657,180574.5
658,168561.2
659,130505.19
660,176878.49
661,176878.49
662,176878.49
663,176878.49
664,130457.93
665,176856.18
666,176856.19
667,176856.18
668,176856.18
669,176856.18
670,176856.19
671,176856.23
672,176856.18
673,176856.18
674,176856.19
675,176856.17
676,130457.76
677,122405
678,122404.99
679,105934.64
680,105934.66
681,105934.66
682,126968.07
683,105934.65
684,105934.65
685,77580.41
686,76205.47
687,179832.14
688,105934.63
689,130466.64
690,171265.8
691,112421.43
692,90812.64
693,105934.65
694,105934.65
695,77580.4
696,149023.97
697,112421.38
698,174229.38
699,88400.7
700,130457.93
701,105934.64
702,162441.04
703,105934.67
704,123105.02
705,174391.95
706,105934.64
707,178866.8
708,178866.8
709,135363.35
710,123105.01
711,122404.99
712,140546.87
713,161966.01
714,177810.58
715,123105
716,123104.99
717,123105.02
718,138086.86
719,176138.03
720,104065.55
721,130481.55
722,175286.05
723,178305.38
724,122404.99
725,77521.77
726,122404.99
727,105934.66
728,156312.01
729,141655.8
730,147424.92
731,173160.17
732,173904.42
733,134605.88
734,105934.65
735,140546.85
736,130466.61
737,106441.6
738,112421.45
739,123105
740,105934.68
741,105934.65
742,111601.41
743,176856.19
744,105934.67
745,123105.01
746,64386.41
747,130481.51
748,127202.99
749,83511.28
750,177413.32
751,151554
752,140546.86
753,105934.67
754,166062
755,153905.73
756,105934.68
757,177205.08
758,177205.08
759,177205.08
760,177205.08
761,177200.17
762,103321.52
763,161044.01
764,91486.8
765,112421.46
766,130505.18
767,121630.54
768,176930.25
769,149050.74
770,130393.9
771,176878.49
772,176878.49
773,176878.49
774,176878.49
775,176878.49
776,127203.02
777,123105.03
778,176856.3
779,176856.18
780,176856.18
781,176856.18
782,176856.18
783,176856.18
784,176856.18
785,176856.18
786,176856.18
787,176856.18
788,176856.18
789,122404.98
790,149044.96
791,115295.04
792,146919
793,173074.44
794,122405
795,122404.99
796,116442.95
797,149044.47
798,139868.98
799,122405
800,157240.2
801,176086.04
802,176050.04
803,89416.8
804,176028.39
805,122404.99
806,105934.67
807,162441.05
808,122404.99
809,149023.83
810,157127.95
811,105934.64
812,123105
813,105934.64
814,130481.59
815,130466.64
816,159418.08
817,175345.94
818,130466.56
819,149050.75
820,175285.88
821,175285.84
822,175285.83
823,175285.82
824,175285.82
825,175285.81
826,175285.81
827,175285.81
828,175285.8
829,175285.8
830,67709.64
831,140748
832,105934.65
833,110638.64
834,130481.58
835,174993.97
836,140546.87
837,88429.53
838,174862.52
839,174862.48
840,174377.75
841,140010.95
842,146514.88
843,104298.68
844,130457.94
845,110638.66
846,130481.59
847,174641.62
848,140546.88
849,150897.77
850,130466.5
851,105934.64
852,169520
853,118075.54
854,174379.35
855,130466.6
856,174365.49
857,174354.27
858,122404.99
859,140441.85
860,174229.39
861,174229.59
862,174229.58
863,174229.56
864,174229.53
865,174229.44
866,174229.42
867,174229.39
868,174229.39
869,174229.38
870,174229.38
871,174229.38
872,105404
873,105934.64
874,109749.06
875,165839.7
876,105934.64
877,112401.07
878,149023.62
879,105934.65
880,127203
881,105934.64
882,112758.78
883,164371.8
884,126968.11
885,145397.21
886,149103.78
887,61214.4
888,105934.64
889,165289.56
890,173509.18
891,149050.73
892,105934.66
893,105934.72
894,120729.63
895,123105.01
896,88062
897,63721.66
898,168282.05
899,130481.55
900,171566.28
901,107007.01
902,105934.65
903,115966.61
904,130481.54
905,105738.66
906,172784.7
907,122405
908,123105.01
909,172639.93
910,105934.69
911,136434.88
912,172495.27
913,71230
914,146838.59
915,153513.84
916,105934.66
917,171065.59
918,172211.48
919,105934.64
920,105667.63
921,105934.65
922,105934.64
923,105934.64
924,171991.61
925,135387.05
926,123105
927,140546.87
928,96430.24
929,105934.67
930,105934.64
931,105934.64
932,105934.65
933,105934.65
934,149044.41
935,105934.68
936,130457.94
937,112441.8
938,112421.43
939,86019.1
940,169572
941,171566.28
942,105934.65
943,127681.16
944,149050.49
945,163240.28
946,130457.95
947,99691.31
948,154939.5
949,169572
950,105934.65
951,171060.82
952,112401.08
953,159498.81
954,105934.65
955,140441.88
956,105934.67
957,102868.73
958,160812.19
959,89056.93
960,130481.55
961,170844.78
962,122404.99
963,130481.53
964,153172.6
965,134097.91
966,78067.61
967,155189.98
968,128742.45
969,170572
970,162441.06
971,105934.68
972,162362.78
973,124863.62
974,116781.05
975,69076
976,130457.96
977,122404.98
978,110118.84
979,130466.58
980,161479.27
981,112401.08
982,105934.64
983,123105
984,122405
985,103971.4
986,109160.81
987,135103.4
988,131715.02
989,159511.95
990,169941.65
991,96252.08
992,149050.78
993,105934.64
994,156312
995,105934.67
996,169572.08
997,169572.06
998,169572.05
999,169572.01
1000,169572
1001,140546.84
1002,169520
1003,169520
1004,167240.64
1005,169647.29
1006,105934.64
1007,122283.44
1008,168950.01
1009,112401.06
1010,169276.41
1011,149050.67
1012,123105.01
1013,105934.67
1014,105934.68
1015,169184.06
1016,130434.33
1017,122404.99
1018,166457.02
1019,105934.65
1020,127203.02
1021,112401.07
1022,78332.62
1023,159677.45
1024,105934.67
1025,105934.64
1026,168611.53
1027,77580.53
1028,122594
