Date,Open,High,Low,Close,Volume
2011-04-12,11689.87,11689.87,11541.59,11541.59,243345920
2011-04-13,11541.6,11637.37,11541.56,11615.77,245716864
2011-04-14,11615.69,11616.93,11541.25,11603.19,286122528
2011-04-15,11603.21,11682.44,11594.07,11679.24,289739200
2011-04-18,11679.28,11690.17,11467.4,11490.75,316619616
2011-04-19,11490.74,11586.93,11490.68,11574.53,245612112
2011-04-20,11574.51,11756.19,11574.05,11756.19,245682672
2011-04-21,11756.11,11814.78,11756.11,11810.48,270400384
2011-04-26,11788.46,11869.44,11788.46,11869.44,256567792
2011-04-27,11869.45,11906,11844.94,11895.02,286654560
2011-04-28,11894.79,12020.87,11894.72,12013.88,284929376
2011-05-03,12013.98,12061.37,11983.87,12014.79,279496160
2011-05-04,12014.87,12030.24,11896.35,11909.08,320442592
2011-05-05,11909.08,11946.73,11815.25,11845.72,323949280
2011-05-06,11845.73,11907.24,11746.96,11907.24,286089216
2011-05-09,11907.25,11937.81,11867.26,11896.09,235601120
2011-05-10,11896.01,12062.01,11895.97,12055.15,365523424
2011-05-11,12055.11,12089.87,12006.32,12017.87,318708160
2011-05-12,12018.06,12018.06,11898.11,11967.11,293018208
2011-05-13,11967.17,12047.96,11967.17,11999.22,221885472
2011-05-16,11999.21,11999.74,11856.08,11943.55,289389952
2011-05-17,11943.56,11960.23,11835.99,11835.99,283969120
2011-05-18,11835.97,11899.15,11829.58,11887.54,231097584
2011-05-19,11887.52,12006.66,11887.52,11986.54,317919264
2011-05-20,11986.51,12071.19,11972.75,11992.21,242255296
2011-05-23,11992.18,11992.18,11790.6,11795.67,258589440
2011-05-24,11795.67,11874.42,11795.67,11858.76,301240288
2011-05-25,11858.77,11858.77,11785.78,11825.24,324738848
2011-05-26,11825.25,11872.67,11824.39,11841.01,290097600
2011-05-27,11840.92,11967.51,11840.91,11958.8,241313888
2011-05-31,11958.75,12084.14,11955.98,12060.79,541430592
2011-06-01,12060.77,12098.17,11985.71,12009.84,295517824
2011-06-02,12009.96,12013.77,11880.09,11963.03,263732208
2011-06-03,11962.99,12018.1,11890.87,11972.66,248406400
2011-06-06,11972.58,11996.93,11939.96,11996.93,263145088
2011-06-07,11996.93,12038.35,11984.04,12008.79,260064032
2011-06-08,12008.81,12008.81,11867.52,11870.92,311256064
2011-06-09,11870.82,11911.62,11833.2,11911.62,334140448
2011-06-10,11911.73,11912.03,11775.1,11786.02,278867136
2011-06-13,11786,11816.8,11746.91,11779.46,196918768
2011-06-14,11779.3,11877.98,11779.3,11861.43,279811840
2011-06-15,11861.42,11862.2,11763.43,11763.43,255249648
2011-06-16,11763.5,11763.5,11553.23,11631.85,344696384
2011-06-17,11631.88,11696.61,11499.09,11661.78,588047296
2011-06-20,11661.83,11661.83,11495.44,11537.84,253914976
2011-06-21,11537.81,11672.66,11537.81,11654.92,283675584
2011-06-22,11654.88,11660.91,11617.22,11636.16,327205952
2011-06-23,11636.24,11636.24,11451.07,11453.72,356577728
2011-06-24,11453.76,11603.89,11453.76,11528.25,268815296
2011-06-27,11528.29,11580.05,11499.55,11549.06,247881680
2011-06-28,11549.14,11626.87,11535.1,11606.38,320089440
2011-06-29,11606.42,11800.07,11606.41,11799.15,324924320
2011-06-30,11799.16,11934.04,11799.16,11934.04,379762368
2011-07-01,11934,12040.28,11933.42,12040.28,353586592
2011-07-04,12040.18,12109.34,12040.18,12102.27,194232048
2011-07-05,12102.37,12168.07,12089.29,12145.42,234303152
2011-07-06,12145.53,12173.27,12110.54,12131.69,245479328
2011-07-07,12131.73,12179.89,12108.79,12167.81,336855680
2011-07-08,12167.82,12211.34,12056.47,12074.26,287131456
2011-07-11,12074.3,12074.3,11844.39,11880.06,297787904
2011-07-12,11880.1,11880.1,11583.88,11778.02,344092288
2011-07-13,11778.01,11849.42,11762.97,11843.19,267834960
2011-07-14,11843.13,11843.13,11720.78,11766.56,263951408
2011-07-15,11798.13,11798.13,11671.16,11746.78,291626176
2011-07-18,11746.79,11746.79,11527.09,11527.78,256265648
2011-07-19,11527.76,11613.96,11527.76,11592.41,274700416
2011-07-20,11592.43,11716.46,11592.43,11701.48,260151040
2011-07-21,11701.45,11757.82,11602.6,11706.68,275605952
2011-07-22,11706.7,11891.5,11706.7,11820.33,272349280
2011-07-25,11820.36,11820.36,11724.16,11786.19,260248560
2011-07-26,11786.18,11835.56,11760.52,11788.92,251539536
2011-07-27,11788.88,11794.54,11639.41,11650.34,259801520
2011-07-28,11650.37,11650.37,11565.35,11615.57,262786272
2011-07-29,11615.6,11615.6,11481.65,11552.06,257115456
2011-08-01,11558.73,11674.44,11407.52,11426.09,296298176
2011-08-02,11443.04,11443.1,11188.64,11188.64,390630304
2011-08-03,11188.64,11188.65,10960.16,10994.59,353422048
2011-08-04,10994.64,11114.18,10545.68,10570.64,447878176
2011-08-05,10570.68,10570.68,10072.67,10313.13,495703552
2011-08-08,10313.14,10406.21,9858,9861.97,426043872
2011-08-09,9861.93,10090.5,9426.64,10090.5,552129088
2011-08-10,10090.43,10322.7,9890.96,9890.96,435560992
2011-08-11,9890.93,10141.17,9824.15,10139.74,425255264
2011-08-12,10139.67,10465.25,10042.84,10432.05,343094080
2011-08-15,10432.12,10568.67,10432.12,10531.8,214441600
2011-08-16,10531.84,10531.84,10329.47,10412.73,227699904
2011-08-17,10412.68,10421.33,10309.11,10369.42,228069664
2011-08-18,10369.48,10369.48,9825.64,9860.22,316114880
2011-08-19,9860.14,9879.2,9565.6,9759.06,317194560
2011-08-22,9759.14,9960.63,9700.47,9854.78,233609136
2011-08-23,9854.71,10032.69,9854.12,9922.1,220191920
2011-08-24,9922.09,10092.69,9904.59,10041.59,264996208
2011-08-25,10041.6,10143.38,9981.91,10021.39,269029408
2011-08-26,10021.36,10027.55,9835.74,9997.1,198049728
2011-08-30,9996.93,10272.53,9996.93,10243.15,242741472
2011-08-31,10243.08,10534.37,10243.08,10525.93,364642752
2011-09-01,10525.94,10584.2,10436.47,10576.81,286497088
2011-09-02,10576.75,10576.75,10326.22,10381.02,243718064
2011-09-05,10381.04,10381.04,10057.89,10084.11,201244672
2011-09-06,10084.1,10194.53,10006.04,10071.17,259595440
2011-09-07,10071.11,10323.69,10071.11,10321.33,257573824
2011-09-08,10321.34,10457.13,10277.02,10365.05,280957600
2011-09-09,10365.23,10365.23,10151.43,10151.43,245789248
2011-09-12,10151.5,10151.5,9925.2,9983.75,280015040
2011-09-13,9983.71,10069.26,9908.7,10011.05,247070032
2011-09-14,10011.16,10147.45,9974.44,10107.87,269859744
